timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-02-07,69200.41800000,70000.62750000,68902.99500000,69495.92899500,9772.00000000,9885.00000000,9730.00000000,9813.73000000,43966.11463200,43966.11463200
2020-02-06,68067.59044500,69841.78945500,67460.84752500,69200.41800000,9612.03000000,9862.57000000,9526.35000000,9772.00000000,64949.70658800,64949.70658800
2020-02-05,65128.69713000,69005.32267500,64988.48343000,68067.66126000,9197.02000000,9744.45000000,9177.22000000,9612.04000000,64870.41561500,64870.41561500
2020-02-04,65796.69502500,66212.02500000,64392.15031500,65128.69713000,9291.35000000,9350.00000000,9093.01000000,9197.02000000,53308.17526600,53308.17526600
2020-02-03,66081.65458500,68115.46138500,65390.57100000,65802.99756000,9331.59000000,9618.79000000,9234.00000000,9292.24000000,50892.13345100,50892.13345100
2020-02-02,66455.69941500,67111.58794500,64583.28000000,66081.08806500,9384.41000000,9477.03000000,9120.00000000,9331.51000000,45690.91254000,45690.91254000
2020-02-01,66224.13436500,67023.06919500,65723.40150000,66457.11571500,9351.71000000,9464.53000000,9281.00000000,9384.61000000,28578.06735400,28578.06735400
2020-01-31,67355.82888000,67488.25293000,65220.68581500,66232.49053500,9511.52000000,9530.22000000,9210.01000000,9352.89000000,45552.02235200,45552.02235200
2020-01-30,65869.06795500,67826.60700000,65181.24186000,67367.79661500,9301.57000000,9578.00000000,9204.44000000,9513.21000000,60626.74425900,60626.74425900
2020-01-29,66391.47021000,66914.79306000,65263.10400000,65868.78469500,9375.34000000,9449.24000000,9216.00000000,9301.53000000,53864.06512200,53864.06512200
2020-01-28,63078.95695500,66566.10000000,62759.08560000,66383.46811500,8907.57000000,9400.00000000,8862.40000000,9374.21000000,74584.85376500,74584.85376500
2020-01-27,61002.80278500,63733.50000000,60440.60250000,63078.95695500,8614.39000000,9000.00000000,8535.00000000,8907.57000000,53973.54299600,53973.54299600
2020-01-26,59059.78081500,61029.28759500,58731.55329000,61007.12250000,8340.01000000,8618.13000000,8293.66000000,8615.00000000,31130.48516400,31130.48516400
2020-01-25,59760.70768500,59847.59769000,58457.07435000,59063.81727000,8438.99000000,8451.26000000,8254.90000000,8340.58000000,25521.15793200,25521.15793200
2020-01-24,59516.60838000,60391.17363000,58337.39700000,59760.77850000,8404.52000000,8528.02000000,8238.00000000,8439.00000000,41687.52952900,41687.52952900
2020-01-23,61487.03575500,61551.05251500,58821.70078500,59516.60838000,8682.77000000,8691.81000000,8306.39000000,8404.52000000,48165.94459700,48165.94459700
2020-01-22,61864.26726000,62444.66700000,60830.08500000,61484.13234000,8736.04000000,8818.00000000,8590.00000000,8682.36000000,29080.55713800,29080.55713800
2020-01-21,61200.80152500,62239.30350000,60107.77200000,61864.19644500,8642.35000000,8789.00000000,8488.00000000,8736.03000000,36494.68765900,36494.68765900
2020-01-20,61621.23018000,61941.80968500,60343.44432000,61200.80152500,8701.72000000,8746.99000000,8521.28000000,8642.35000000,38896.63974600,38896.63974600
2020-01-19,63132.20983500,65142.57687000,59951.97900000,61621.08855000,8915.09000000,9198.98000000,8466.00000000,8701.70000000,70676.88925900,70676.88925900
2020-01-18,63119.32150500,63654.75372000,62362.37997000,63138.37074000,8913.27000000,8988.88000000,8806.38000000,8915.96000000,38294.74654500,38294.74654500
2020-01-17,61751.74222500,64028.44447500,61413.88386000,63119.39232000,8720.15000000,9041.65000000,8672.44000000,8913.28000000,70897.73737700,70897.73737700
2020-01-16,62458.90081500,62740.74451500,60801.75900000,61750.75081500,8820.01000000,8859.81000000,8586.00000000,8720.01000000,51991.07428400,51991.07428400
2020-01-15,62420.87316000,63142.05312000,60645.96600000,62468.81491500,8814.64000000,8916.48000000,8564.00000000,8821.41000000,84816.29760600,84816.29760600
