date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
23/10/2019,8020.06,8020.06,8047.59,8047.59,7300,7300,7466.62,7466.62,63897.4571,63897.4571
22/10/2019,8197.28,8197.28,8297.99,8297.99,8000,8000,8020,8020,34651.82866,34651.82866
21/10/2019,8223.35,8223.35,8333,8333,8142.03,8142.03,8197.27,8197.27,30448.67954,30448.67954
20/10/2019,7949.87,7949.87,8297,8297,7870,7870,8223.35,8223.35,34286.45265,34286.45265
19/10/2019,7946.89,7946.89,8098.1,8098.1,7866.92,7866.92,7948.01,7948.01,26627.88939,26627.88939
18/10/2019,8070.71,8070.71,8115,8115,7816.01,7816.01,7947.01,7947.01,31353.18142,31353.18142
17/10/2019,7995.02,7995.02,8124.92,8124.92,7929.03,7929.03,8070.58,8070.58,29656.94916,29656.94916
16/10/2019,8159.3,8159.3,8181.16,8181.16,7917,7917,7991.74,7991.74,34733.59397,34733.59397
15/10/2019,8346.86,8346.86,8403,8403,8090,8090,8159.29,8159.29,32773.06248,32773.06248
14/10/2019,8275.24,8275.24,8388.85,8388.85,8203,8203,8348.2,8348.2,29810.66325,29810.66325
13/10/2019,8301.98,8301.98,8451.37,8451.37,8160,8160,8275.01,8275.01,27840.73995,27840.73995
12/10/2019,8257.95,8257.95,8400,8400,8250,8250,8300.09,8300.09,21339.3341,21339.3341
11/10/2019,8557.82,8557.82,8779.51,8779.51,8212.38,8212.38,8258.5,8258.5,50405.28442,50405.28442
10/10/2019,8562.15,8562.15,8644,8644,8414.52,8414.52,8558.03,8558.03,39137.94617,39137.94617
09/10/2019,8170.79,8170.79,8670,8670,8115,8115,8560.74,8560.74,55038.70438,55038.70438
08/10/2019,8190.82,8190.82,8325,8325,8088.75,8088.75,8168.39,8168.39,35452.65742,35452.65742
07/10/2019,7855.3,7855.3,8299.92,8299.92,7762,7762,8190.09,8190.09,52202.0723,52202.0723
06/10/2019,8127.55,8127.55,8153.87,8153.87,7785,7785,7854.25,7854.25,34676.10405,34676.10405
05/10/2019,8137.09,8137.09,8183.41,8183.41,8012.98,8012.98,8126.19,8126.19,21907.61556,21907.61556
04/10/2019,8224.43,8224.43,8232.41,8232.41,8005,8005,8137.13,8137.13,26476.3304,26476.3304
03/10/2019,8360,8360,8393,8393,8060,8060,8223.96,8223.96,30488.28406,30488.28406
02/10/2019,8292.67,8292.67,8373.91,8373.91,8151.22,8151.22,8359.94,8359.94,26243.38664,26243.38664
01/10/2019,8289.97,8289.97,8500,8500,8173.05,8173.05,8292.44,8292.44,43472.41809,43472.41809
30/09/2019,8043.04,8043.04,8337.26,8337.26,7710,7710,8289.34,8289.34,55865.48726,55865.48726
29/09/2019,8199.38,8199.38,8229.13,8229.13,7890,7890,8043.82,8043.82,31544.21139,31544.21139
28/09/2019,8177.47,8177.47,8315,8315,8001.09,8001.09,8198.81,8198.81,34473.60517,34473.60517
27/09/2019,8063.49,8063.49,8265,8265,7852.15,7852.15,8177.91,8177.91,43882.92463,43882.92463
26/09/2019,8430.05,8430.05,8465.99,8465.99,7750,7750,8063.73,8063.73,67930.85375,67930.85375
25/09/2019,8497.55,8497.55,8730,8730,8215.64,8215.64,8430.05,8430.05,60783.89226,60783.89226
24/09/2019,9702.2,9702.2,9794.99,9794.99,7800,7800,8493.14,8493.14,94007.3452,94007.3452
23/09/2019,10028.05,10028.05,10049.99,10049.99,9615.77,9615.77,9702.25,9702.25,31937.23236,31937.23236
22/09/2019,9985.15,9985.15,10089,10089,9853.97,9853.97,10028.87,10028.87,22049.27526,22049.27526
21/09/2019,10167.92,10167.92,10176.7,10176.7,9900,9900,9986.39,9986.39,20544.1752,20544.1752
20/09/2019,10243.7,10243.7,10281,10281,10061.39,10061.39,10168.59,10168.59,25088.49107,25088.49107
19/09/2019,10156.41,10156.41,10325,10325,9653,9653,10244.29,10244.29,44826.28258,44826.28258
18/09/2019,10187.48,10187.48,10258.02,10258.02,10100,10100,10156.99,10156.99,24250.2493,24250.2493
17/09/2019,10249.68,10249.68,10275,10275,10128.01,10128.01,10187.82,10187.82,22914.32456,22914.32456
16/09/2019,10303.34,10303.34,10355,10355,10078,10078,10251.31,10251.31,28971.40166,28971.40166
15/09/2019,10332.81,10332.81,10360,10360,10252.15,10252.15,10302.01,10302.01,18047.65401,18047.65401
14/09/2019,10344.13,10344.13,10419.99,10419.99,10222.33,10222.33,10335.02,10335.02,23621.53352,23621.53352
13/09/2019,10415.01,10415.01,10439,10439,10153,10153,10342.06,10342.06,30280.33978,30280.33978
12/09/2019,10158.75,10158.75,10448.81,10448.81,10040,10040,10415.01,10415.01,34511.16276,34511.16276
11/09/2019,10098.19,10098.19,10293,10293,9880,9880,10158.33,10158.33,31953.82456,31953.82456
10/09/2019,10302.58,10302.58,10384.99,10384.99,9953,9953,10098.15,10098.15,28915.41223,28915.41223
09/09/2019,10381.24,10381.24,10480,10480,10068.5,10068.5,10303.12,10303.12,39835.72761,39835.72761
08/09/2019,10455.9,10455.9,10592.5,10592.5,10208,10208,10381.18,10381.18,23984.67202,23984.67202
07/09/2019,10298.71,10298.71,10558,10558,10288.57,10288.57,10455.88,10455.88,27637.87739,27637.87739
06/09/2019,10563.13,10563.13,10905.87,10905.87,10150,10150,10298.73,10298.73,58799.64096,58799.64096
05/09/2019,10565.92,10565.92,10900,10900,10450,10450,10564.49,10564.49,33970.96064,33970.96064
04/09/2019,10611.85,10611.85,10799,10799,10369.89,10369.89,10567.02,10567.02,43943.88903,43943.88903
03/09/2019,10340,10340,10773,10773,10272,10272,10615.28,10615.28,47998.37678,47998.37678
02/09/2019,9723.59,9723.59,10450,10450,9712.5,9712.5,10340,10340,44740.24809,44740.24809
01/09/2019,9588.74,9588.74,9830,9830,9520,9520,9724.98,9724.98,19545.40484,19545.40484
31/08/2019,9582.76,9582.76,9684.51,9684.51,9420.75,9420.75,9587.47,9587.47,17130.29007,17130.29007
30/08/2019,9499.01,9499.01,9696,9696,9350.41,9350.41,9584.54,9584.54,26834.3181,26834.3181
29/08/2019,9721,9721,9724,9724,9320,9320,9498.44,9498.44,35532.69491,35532.69491
28/08/2019,10185.69,10185.69,10299,10299,9601.01,9601.01,9721,9721,42110.55538,42110.55538
27/08/2019,10373.6,10373.6,10391.08,10391.08,10051.08,10051.08,10185.05,10185.05,28402.77538,28402.77538
26/08/2019,10142.69,10142.69,10604,10604,10137.93,10137.93,10372.25,10372.25,41687.5116,41687.5116
25/08/2019,10134.61,10134.61,10333,10333,9906.97,9906.97,10142.69,10142.69,26271.6574,26271.6574
24/08/2019,10388.16,10388.16,10419.42,10419.42,9890,9890,10134.35,10134.35,27692.45684,27692.45684
23/08/2019,10099.9,10099.9,10445,10445,10019.79,10019.79,10389.55,10389.55,27550.33617,27550.33617
22/08/2019,10140.82,10140.82,10242,10242,9762,9762,10099.88,10099.88,34059.64274,34059.64274
21/08/2019,10760.51,10760.51,10804.13,10804.13,9858,9858,10142.57,10142.57,47355.71928,47355.71928
20/08/2019,10914.73,10914.73,10949.96,10949.96,10560,10560,10760.51,10760.51,32298.92168,32298.92168
19/08/2019,10306.17,10306.17,10930,10930,10258.6,10258.6,10915.54,10915.54,37243.31922,37243.31922
18/08/2019,10216.05,10216.05,10500,10500,10080,10080,10306.78,10306.78,24085.39517,24085.39517
17/08/2019,10331.15,10331.15,10465.14,10465.14,10000,10000,10216.02,10216.02,29000.5812,29000.5812
16/08/2019,10296.77,10296.77,10536.03,10536.03,9750,9750,10331.54,10331.54,51758.14292,51758.14292
15/08/2019,10055.16,10055.16,10460,10460,9911,9911,10293.93,10293.93,38174.45112,38174.45112
14/08/2019,10893.36,10893.36,10897.48,10897.48,9928.1,9928.1,10050.37,10050.37,54451.8475,54451.8475
13/08/2019,11398.35,11398.35,11456.16,11456.16,10788.45,10788.45,10892.71,10892.71,33234.72968,33234.72968
12/08/2019,11539.08,11539.08,11577.89,11577.89,11235.32,11235.32,11396.08,11396.08,17568.22708,17568.22708
11/08/2019,11309.24,11309.24,11600,11600,11112.11,11112.11,11549.97,11549.97,26772.90691,26772.90691
10/08/2019,11879.98,11879.98,11985,11985,11270,11270,11309.31,11309.31,42633.08705,42633.08705
09/08/2019,11994.17,11994.17,12045.68,12045.68,11700,11700,11879.99,11879.99,39427.15259,39427.15259
08/08/2019,11975.04,11975.04,12060,12060,11521,11521,11999.77,11999.77,51207.25717,51207.25717
