date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
23/02/2020,261.55,261.55,275.68,275.68,261.02,261.02,274.48,274.48,444740.8288,444740.8288
22/02/2020,265.32,265.32,266.81,266.81,256,256,261.57,261.57,313062.5213,313062.5213
21/02/2020,256.97,256.97,268.24,268.24,253.61,253.61,265.27,265.27,525827.8734,525827.8734
20/02/2020,258.44,258.44,264.33,264.33,245.34,245.34,256.96,256.96,972969.7169,972969.7169
19/02/2020,282.64,282.64,285,285,251.56,251.56,258.45,258.45,705973.7299,705973.7299
18/02/2020,267.9,267.9,285.88,285.88,258,258,282.61,282.61,1115523.44,1115523.44
17/02/2020,258.89,258.89,268.77,268.77,242,242,267.85,267.85,1110371.391,1110371.391
16/02/2020,264.91,264.91,274,274,237.41,237.41,258.85,258.85,1110118.464,1110118.464
15/02/2020,285.11,285.11,288.41,288.41,261.86,261.86,264.88,264.88,860813.1427,860813.1427
14/02/2020,268.34,268.34,287.15,287.15,260.28,260.28,285.15,285.15,734944.3227,734944.3227
13/02/2020,265.74,265.74,277.69,277.69,256.08,256.08,268.32,268.32,1089679.154,1089679.154
12/02/2020,236.69,236.69,275.34,275.34,236.69,236.69,265.74,265.74,1038073.748,1038073.748
11/02/2020,222.89,222.89,239.15,239.15,218.17,218.17,236.69,236.69,595576.9028,595576.9028
10/02/2020,228.53,228.53,229.4,229.4,216.37,216.37,222.89,222.89,510415.4995,510415.4995
09/02/2020,223.01,223.01,230.65,230.65,222.86,222.86,228.49,228.49,350336.244,350336.244
08/02/2020,223.36,223.36,227.75,227.75,213.22,213.22,223.05,223.05,548551.8747,548551.8747
07/02/2020,213.16,213.16,225,225,213.14,213.14,223.33,223.33,629361.1547,629361.1547
06/02/2020,203.78,203.78,216.33,216.33,201.02,201.02,213.19,213.19,608240.2233,608240.2233
05/02/2020,188.91,188.91,207.61,207.61,188.19,188.19,203.78,203.78,550942.1142,550942.1142
04/02/2020,189.74,189.74,191.6,191.6,184.69,184.69,188.91,188.91,366389.6969,366389.6969
