date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
18/12/2019,0.04327,0.04327,0.04782,0.04782,0.04211,0.04211,0.04655,0.04655,90536217.1,90536217.1
17/12/2019,0.04701,0.04701,0.04714,0.04714,0.0421,0.0421,0.04331,0.04331,92162114.1,92162114.1
16/12/2019,0.05096,0.05096,0.05109,0.05109,0.04679,0.04679,0.04696,0.04696,59077378.7,59077378.7
15/12/2019,0.05091,0.05091,0.05144,0.05144,0.0503,0.0503,0.05097,0.05097,21752495.2,21752495.2
14/12/2019,0.05273,0.05273,0.05288,0.05288,0.05007,0.05007,0.0509,0.0509,31334161.7,31334161.7
13/12/2019,0.05202,0.05202,0.05302,0.05302,0.05196,0.05196,0.0527,0.0527,19796738.7,19796738.7
12/12/2019,0.0528,0.0528,0.05324,0.05324,0.05144,0.05144,0.05201,0.05201,41465141.8,41465141.8
11/12/2019,0.05316,0.05316,0.05373,0.05373,0.0526,0.0526,0.0528,0.0528,20192671.4,20192671.4
10/12/2019,0.05455,0.05455,0.05459,0.05459,0.05231,0.05231,0.05315,0.05315,32566296,32566296
09/12/2019,0.05577,0.05577,0.05618,0.05618,0.05401,0.05401,0.05462,0.05462,20542246.4,20542246.4
08/12/2019,0.05541,0.05541,0.05596,0.05596,0.05478,0.05478,0.0558,0.0558,17858858.9,17858858.9
07/12/2019,0.0553,0.0553,0.05593,0.05593,0.05528,0.05528,0.05541,0.05541,19253806.7,19253806.7
06/12/2019,0.05538,0.05538,0.05599,0.05599,0.05466,0.05466,0.05538,0.05538,31384939.2,31384939.2
05/12/2019,0.05471,0.05471,0.05565,0.05565,0.05417,0.05417,0.05539,0.05539,39396623,39396623
04/12/2019,0.05572,0.05572,0.05741,0.05741,0.05357,0.05357,0.05467,0.05467,52376850.1,52376850.1
03/12/2019,0.05571,0.05571,0.05658,0.05658,0.05504,0.05504,0.05572,0.05572,29630435.7,29630435.7
02/12/2019,0.05724,0.05724,0.05729,0.05729,0.05541,0.05541,0.05565,0.05565,33731722.7,33731722.7
01/12/2019,0.05724,0.05724,0.05765,0.05765,0.05506,0.05506,0.05723,0.05723,26189891.4,26189891.4
30/11/2019,0.059,0.059,0.0593,0.0593,0.05656,0.05656,0.05726,0.05726,31541499.8,31541499.8
29/11/2019,0.0579,0.0579,0.05999,0.05999,0.05783,0.05783,0.05898,0.05898,44310991.8,44310991.8
28/11/2019,0.05862,0.05862,0.05903,0.05903,0.05731,0.05731,0.05787,0.05787,31978912.1,31978912.1
27/11/2019,0.05752,0.05752,0.0595,0.0595,0.05508,0.05508,0.05863,0.05863,68432602.6,68432602.6
26/11/2019,0.05721,0.05721,0.05819,0.05819,0.05641,0.05641,0.05748,0.05748,49403461.9,49403461.9
25/11/2019,0.05546,0.05546,0.05961,0.05961,0.0531,0.0531,0.05727,0.05727,90335956.8,90335956.8
24/11/2019,0.06148,0.06148,0.06207,0.06207,0.05522,0.05522,0.05546,0.05546,75274935.6,75274935.6
23/11/2019,0.05916,0.05916,0.06218,0.06218,0.05776,0.05776,0.06145,0.06145,88039138.1,88039138.1
22/11/2019,0.06069,0.06069,0.0613,0.0613,0.053,0.053,0.05916,0.05916,116361418.6,116361418.6
21/11/2019,0.064,0.064,0.06405,0.06405,0.05739,0.05739,0.06072,0.06072,83836223.7,83836223.7
20/11/2019,0.06562,0.06562,0.0662,0.0662,0.06364,0.06364,0.06402,0.06402,35835411.5,35835411.5
19/11/2019,0.06698,0.06698,0.06698,0.06698,0.06335,0.06335,0.0656,0.0656,61594261.9,61594261.9
18/11/2019,0.07158,0.07158,0.0716,0.0716,0.06459,0.06459,0.06697,0.06697,76835366.2,76835366.2
17/11/2019,0.07124,0.07124,0.07294,0.07294,0.07121,0.07121,0.07157,0.07157,31012795.2,31012795.2
16/11/2019,0.0721,0.0721,0.07228,0.07228,0.071,0.071,0.07126,0.07126,30060711.3,30060711.3
15/11/2019,0.07413,0.07413,0.07506,0.07506,0.07033,0.07033,0.07214,0.07214,56154483.6,56154483.6
14/11/2019,0.07617,0.07617,0.0762,0.0762,0.07232,0.07232,0.07414,0.07414,54686021.2,54686021.2
13/11/2019,0.07685,0.07685,0.07757,0.07757,0.07532,0.07532,0.07616,0.07616,47601553.4,47601553.4
12/11/2019,0.08,0.08,0.0827,0.0827,0.07382,0.07382,0.07686,0.07686,172008305.7,172008305.7
11/11/2019,0.07893,0.07893,0.081,0.081,0.07606,0.07606,0.08,0.08,124523004.4,124523004.4
10/11/2019,0.07314,0.07314,0.08144,0.08144,0.07278,0.07278,0.07892,0.07892,173093212.2,173093212.2
09/11/2019,0.07115,0.07115,0.07331,0.07331,0.07066,0.07066,0.07314,0.07314,45410391.5,45410391.5
08/11/2019,0.07424,0.07424,0.07693,0.07693,0.06845,0.06845,0.07116,0.07116,137545601.5,137545601.5
07/11/2019,0.07685,0.07685,0.07716,0.07716,0.07259,0.07259,0.07423,0.07423,191465420.4,191465420.4
06/11/2019,0.08222,0.08222,0.08282,0.08282,0.0764,0.0764,0.07684,0.07684,193481055.5,193481055.5
05/11/2019,0.07939,0.07939,0.08876,0.08876,0.07845,0.07845,0.08221,0.08221,409265259.4,409265259.4
04/11/2019,0.06865,0.06865,0.07939,0.07939,0.06745,0.06745,0.07929,0.07929,122972676.3,122972676.3
03/11/2019,0.07124,0.07124,0.07196,0.07196,0.06787,0.06787,0.06863,0.06863,115898878,115898878
02/11/2019,0.06901,0.06901,0.07135,0.07135,0.069,0.069,0.07123,0.07123,125928076.2,125928076.2
01/11/2019,0.06511,0.06511,0.07242,0.07242,0.06459,0.06459,0.069,0.069,287327789.4,287327789.4
31/10/2019,0.06388,0.06388,0.06514,0.06514,0.062,0.062,0.06512,0.06512,118903683.2,118903683.2
30/10/2019,0.06661,0.06661,0.06706,0.06706,0.06268,0.06268,0.06388,0.06388,104406655.1,104406655.1
29/10/2019,0.0645,0.0645,0.06998,0.06998,0.06443,0.06443,0.06662,0.06662,99602283.5,99602283.5
28/10/2019,0.06517,0.06517,0.06919,0.06919,0.06436,0.06436,0.0645,0.0645,121373979.2,121373979.2
27/10/2019,0.06264,0.06264,0.0658,0.0658,0.06184,0.06184,0.06514,0.06514,103629832.8,103629832.8
26/10/2019,0.06431,0.06431,0.0674,0.0674,0.06166,0.06166,0.06264,0.06264,130527665.9,130527665.9
25/10/2019,0.06017,0.06017,0.06616,0.06616,0.0594,0.0594,0.06429,0.06429,98514966.9,98514966.9
24/10/2019,0.05982,0.05982,0.0616,0.0616,0.05852,0.05852,0.06015,0.06015,59597296.8,59597296.8
23/10/2019,0.06322,0.06322,0.06349,0.06349,0.05692,0.05692,0.05984,0.05984,81205772.2,81205772.2
22/10/2019,0.06388,0.06388,0.06477,0.06477,0.06302,0.06302,0.06321,0.06321,41032516.8,41032516.8
21/10/2019,0.0632,0.0632,0.0641,0.0641,0.06266,0.06266,0.06387,0.06387,30188144.2,30188144.2
20/10/2019,0.06247,0.06247,0.06388,0.06388,0.06165,0.06165,0.0632,0.0632,31117304,31117304
19/10/2019,0.06302,0.06302,0.06395,0.06395,0.06224,0.06224,0.06247,0.06247,28689772.9,28689772.9
18/10/2019,0.06504,0.06504,0.06511,0.06511,0.0615,0.0615,0.06299,0.06299,51424679.9,51424679.9
17/10/2019,0.0617,0.0617,0.06511,0.06511,0.06102,0.06102,0.06505,0.06505,75774952.3,75774952.3
16/10/2019,0.06389,0.06389,0.06437,0.06437,0.06047,0.06047,0.06171,0.06171,53065845.3,53065845.3
15/10/2019,0.06614,0.06614,0.06675,0.06675,0.0622,0.0622,0.0639,0.0639,84100929.1,84100929.1
